ID,DESCRIPTION.XML_LANG,DESCRIPTION
AOMPC_IX,en,"Economic Activity, Oil Production, Crude, Index"
AOMPC_PC_CP_A_PT,en,"Economic Activity, Oil Production, Crude, Percentage change, Corresponding period previous year, Percent"
AOMPC_PC_PP_PT,en,"Economic Activity, Oil Production, Crude, Percentage change, Previous period, Percent"
AOTV_PE_IX,en,"Economic Activity, Other Indicators, Tourism, Number of Visitors, Persons, Index"
LE_PE_NUM,en,"Employment, Persons, Number of"
LE_PE_PC_CP_A_PT,en,"Employment, Persons, Percentage change, corresponding period previous year, Percent"
LE_PE_PC_PP_PT,en,"Employment, Persons, Percentage change, previous period, Percent"
BEF_BP6_USD,en,"Balance of Payments, Exceptional financing, US Dollars"
ENECUE_XDC_XEU_RATE,en,"Exchange Rates, Domestic Currency per ECU, End of Period, Rate"
ENECUA_XDC_XEU_RATE,en,"Exchange Rates, Domestic Currency per ECU, Period Average, Rate"
ENEE_XDC_EUR_RATE,en,"Exchange Rates, Domestic Currency per Euro, End of Period, Rate"
ENEA_XDC_EUR_RATE,en,"Exchange Rates, Domestic Currency per Euro, Period Average, Rate"
ENSE_XDC_XDR_RATE,en,"Exchange Rates, Domestic Currency per SDR, End of Period"
ENSA_XDC_XDR_RATE,en,"Exchange Rates, Domestic Currency per SDR, Period Average"
ENDE_XDC_USD_RATE,en,"Exchange Rates, Domestic Currency per U.S. Dollar, End of Period, Rate"
ENDA_XDC_USD_RATE,en,"Exchange Rates, Domestic Currency per U.S. Dollar, Period Average, Rate"
EECUNE_XEU_XDC_RATE,en,"Exchange Rates, ECUs per Domestic Currency, End of period, Rate"
EECUNA_XEU_XDC_RATE,en,"Exchange Rates, ECUs per Domestic Currency, Period average, Rate"
EENE_EUR_XDC_RATE,en,"Exchange Rates, Euro per Domestic Currency, End of Period, Rate"
EENA_EUR_XDC_RATE,en,"Exchange Rates, Euro per Domestic Currency, Period Average, Rate"
ENEER_ULC_IX,en,"Exchange Rates, Nominal Effective Exchange Rate based on Unit Labor Costs, Index"
ENEER_IX,en,"Exchange Rates, Nominal Effective Exchange Rate, Index"
ENEER_PC_CP_A_PT,en,"Exchange Rates, Nominal Effective Exchange Rate, Percentage change, Corresponding period previous year, Percent"
EREER_IX,en,"Exchange Rates, Real Effective Exchange Rate based on Consumer Price Index, Index"
EREER_PC_CP_A_PT,en,"Exchange Rates, Real Effective Exchange Rate based on Consumer Price Index, Percentage change, Corresponding period previous year, Percent"
EREER_ULC_IX,en,"Exchange Rates, Real Effective Exchange Rate based on Unit Labor Costs, Index"
ESNE_XDR_XDC_RATE,en,"Exchange Rates, SDR per Domestic Currency, End of Period"
ESNA_XDR_XDC_RATE,en,"Exchange Rates, SDR per Domestic Currency, Period Average"
